gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0.0,1,0,0.013888888888888888,0,1,0,0,2,0,0,0,0,0,1,2,0.11542288557213931,2505,0
1,0.0,0,0,0.4722222222222222,1,0,0,2,0,2,0,0,0,1,0,3,0.3850746268656717,1466,0
1,0.0,0,0,0.027777777777777776,1,0,0,2,2,0,0,0,0,0,1,3,0.35422885572139307,157,1
1,0.0,0,0,0.625,0,1,0,2,0,2,2,0,0,1,0,0,0.23930348258706466,1400,0
0,0.0,0,0,0.027777777777777776,1,0,1,0,0,0,0,0,0,0,1,2,0.5218905472636817,925,1
0,0.0,0,0,0.1111111111111111,1,2,1,0,0,2,0,2,2,0,1,2,0.809950248756219,6104,1
1,0.0,0,1,0.3055555555555556,1,2,1,0,2,0,0,2,0,0,1,1,0.7049751243781094,1550,0
0,0.0,0,0,0.1388888888888889,0,1,0,2,0,0,0,0,0,0,0,3,0.11442786069651742,2609,0
0,0.0,1,0,0.3888888888888889,1,2,1,0,0,2,2,2,2,0,1,2,0.8611940298507462,2646,1
1,0.0,0,1,0.8611111111111112,1,0,0,2,2,0,0,0,0,1,0,0,0.3771144278606965,3022,0
1,0.0,1,1,0.18055555555555555,1,0,0,2,0,0,0,0,0,0,1,3,0.3154228855721393,4823,0
1,0.0,0,0,0.2222222222222222,1,0,2,1,1,1,1,1,1,2,0,1,0.006965174129353227,2836,0
1,0.0,1,0,0.8055555555555556,1,2,1,0,0,2,0,2,2,1,0,1,0.8169154228855721,4693,0
1,0.0,0,0,0.6805555555555556,1,2,1,0,2,2,0,2,2,0,1,0,0.8502487562189055,4265,1
1,0.0,0,0,0.3472222222222222,1,0,1,2,0,2,2,2,2,0,1,2,0.8681592039800995,2337,0
0,0.0,1,1,0.9583333333333334,1,2,1,2,2,2,2,2,2,2,0,1,0.945273631840796,5959,0
0,0.0,0,0,0.7222222222222222,1,0,2,1,1,1,1,1,1,1,0,3,0.02388059701492536,46,0
1,0.0,0,1,0.9861111111111112,1,2,1,2,0,2,0,2,2,2,0,0,0.8800995024875622,5704,0
0,0.0,1,1,0.1388888888888889,1,0,0,0,0,2,2,0,0,0,0,1,0.36766169154228856,4416,1
0,0.0,0,0,0.2916666666666667,1,0,1,0,2,2,0,0,2,0,1,2,0.7144278606965174,1433,0
1,1.0,0,0,0.013888888888888888,0,1,0,0,0,2,0,0,2,0,1,2,0.21293532338308457,3340,1
1,0.0,1,0,0.16666666666666666,1,0,2,1,1,1,1,1,1,1,0,0,0.01542288557213931,1651,0
